scenario,protocol,mobility,maxPaths,numNodes,numFlows,meanVelMin,meanVelMax,pktInterval,simTime,seed,deliveryRatio,avgDelayMs,throughputMbps,routingOverhead,totalEnergyJ,nodesDead
long-T1200,AODV,GAUSS,1,15,0,15,25,0.25,1200,1,58.4118,252.5497,0.1402,168351,543.5891,0
long-T1200,AODV,GAUSS,1,15,0,15,25,0.25,1200,2,48.5420,234.9568,0.1165,142195,542.4386,0
long-T1200,AODV,GAUSS,1,15,0,15,25,0.25,1200,3,63.6152,211.8997,0.1527,185909,541.6307,0
long-T1200,AODV,GAUSS,1,15,0,15,25,0.25,1200,4,43.5561,193.0824,0.1045,152518,542.2072,0
long-T1200,AODV,GAUSS,1,15,0,15,25,0.25,1200,5,53.5669,229.0510,0.1286,141099,542.0921,0
long-T200,AODV,GAUSS,1,15,0,15,25,0.25,200,1,21.5411,236.5218,0.0496,23676,543.5891,0
long-T200,AODV,GAUSS,1,15,0,15,25,0.25,200,2,21.4379,124.1031,0.0494,17522,542.4386,0
long-T200,AODV,GAUSS,1,15,0,15,25,0.25,200,3,51.0592,170.8388,0.1177,26141,541.6307,0
long-T200,AODV,GAUSS,1,15,0,15,25,0.25,200,4,25.8343,63.0646,0.0595,20543,542.2072,0
long-T200,AODV,GAUSS,1,15,0,15,25,0.25,200,5,43.2602,137.3972,0.0997,16199,542.0921,0
long-T600,AODV,GAUSS,1,15,0,15,25,0.25,600,1,41.3874,196.6026,0.0985,76965,543.5891,0
long-T600,AODV,GAUSS,1,15,0,15,25,0.25,600,2,38.8321,165.3651,0.0925,57858,542.4386,0
long-T600,AODV,GAUSS,1,15,0,15,25,0.25,600,3,56.8828,201.9317,0.1354,80128,541.6307,0
long-T600,AODV,GAUSS,1,15,0,15,25,0.25,600,4,35.5843,186.6778,0.0847,70106,542.2072,0
long-T600,AODV,GAUSS,1,15,0,15,25,0.25,600,5,49.3438,194.5200,0.1175,62294,542.0921,0
long-T900,AODV,GAUSS,1,15,0,15,25,0.25,900,1,53.1583,236.5649,0.1272,124492,543.5891,0
long-T900,AODV,GAUSS,1,15,0,15,25,0.25,900,2,45.5202,203.9527,0.1090,101100,542.4386,0
long-T900,AODV,GAUSS,1,15,0,15,25,0.25,900,3,61.9937,203.4386,0.1484,136194,541.6307,0
long-T900,AODV,GAUSS,1,15,0,15,25,0.25,900,4,37.0879,178.5786,0.0888,107343,542.2072,0
long-T900,AODV,GAUSS,1,15,0,15,25,0.25,900,5,50.2727,176.9132,0.1203,96163,542.0921,0
long-T1200,AOMDV,GAUSS,3,15,0,15,25,0.25,1200,1,61.9533,263.8898,0.1487,166411,543.5794,0
long-T1200,AOMDV,GAUSS,3,15,0,15,25,0.25,1200,2,59.4918,320.2902,0.1428,162295,542.5333,0
long-T1200,AOMDV,GAUSS,3,15,0,15,25,0.25,1200,3,59.9808,204.6743,0.1440,170281,541.7547,0
long-T1200,AOMDV,GAUSS,3,15,0,15,25,0.25,1200,4,39.7372,165.5339,0.0954,133064,542.1582,0
long-T1200,AOMDV,GAUSS,3,15,0,15,25,0.25,1200,5,64.2362,253.0340,0.1542,159457,542.0949,0
long-T200,AOMDV,GAUSS,3,15,0,15,25,0.25,200,1,40.2043,277.1114,0.0926,24798,543.5794,0
long-T200,AOMDV,GAUSS,3,15,0,15,25,0.25,200,2,36.1736,142.6062,0.0834,21925,542.5333,0
long-T200,AOMDV,GAUSS,3,15,0,15,25,0.25,200,3,49.7657,104.8562,0.1147,23651,541.7547,0
long-T200,AOMDV,GAUSS,3,15,0,15,25,0.25,200,4,19.5632,44.5571,0.0451,16736,542.1582,0
long-T200,AOMDV,GAUSS,3,15,0,15,25,0.25,200,5,54.1901,179.2413,0.1249,17229,542.0949,0
long-T600,AOMDV,GAUSS,3,15,0,15,25,0.25,600,1,49.2410,216.4074,0.1172,76711,543.5794,0
long-T600,AOMDV,GAUSS,3,15,0,15,25,0.25,600,2,57.5239,250.3256,0.1370,73026,542.5333,0
long-T600,AOMDV,GAUSS,3,15,0,15,25,0.25,600,3,53.0180,184.7350,0.1262,71383,541.7547,0
long-T600,AOMDV,GAUSS,3,15,0,15,25,0.25,600,4,36.4310,198.2225,0.0867,63742,542.1582,0
long-T600,AOMDV,GAUSS,3,15,0,15,25,0.25,600,5,57.8021,196.1711,0.1376,64109,542.0949,0
long-T900,AOMDV,GAUSS,3,15,0,15,25,0.25,900,1,58.2317,257.6957,0.1394,122730,543.5794,0
long-T900,AOMDV,GAUSS,3,15,0,15,25,0.25,900,2,59.8520,295.8346,0.1433,120759,542.5333,0
long-T900,AOMDV,GAUSS,3,15,0,15,25,0.25,900,3,56.3728,177.7759,0.1349,121351,541.7547,0
long-T900,AOMDV,GAUSS,3,15,0,15,25,0.25,900,4,37.1140,181.8268,0.0888,101475,542.1582,0
long-T900,AOMDV,GAUSS,3,15,0,15,25,0.25,900,5,63.9107,222.9032,0.1530,111478,542.0949,0
long-T1200,PMAODV,GAUSS,3,15,0,15,25,0.25,1200,1,62.0253,246.2859,0.1489,169769,543.0814,0
long-T1200,PMAODV,GAUSS,3,15,0,15,25,0.25,1200,2,57.6138,277.7898,0.1383,157996,543.9660,0
long-T1200,PMAODV,GAUSS,3,15,0,15,25,0.25,1200,3,54.4069,193.7237,0.1306,173958,541.6759,0
long-T1200,PMAODV,GAUSS,3,15,0,15,25,0.25,1200,4,65.5487,314.7508,0.1573,191716,543.5103,0
long-T1200,PMAODV,GAUSS,3,15,0,15,25,0.25,1200,5,61.9458,224.4240,0.1487,162463,541.7613,0
long-T200,PMAODV,GAUSS,3,15,0,15,25,0.25,200,1,26.0967,171.1967,0.0601,21043,543.0814,0
long-T200,PMAODV,GAUSS,3,15,0,15,25,0.25,200,2,37.3828,192.0584,0.0861,24687,543.9660,0
long-T200,PMAODV,GAUSS,3,15,0,15,25,0.25,200,3,35.3112,263.1816,0.0814,23440,541.6759,0
long-T200,PMAODV,GAUSS,3,15,0,15,25,0.25,200,4,53.0184,256.1631,0.1222,26121,543.5103,0
long-T200,PMAODV,GAUSS,3,15,0,15,25,0.25,200,5,43.0821,107.4891,0.0993,14740,541.7613,0
long-T600,PMAODV,GAUSS,3,15,0,15,25,0.25,600,1,49.2772,236.7786,0.1173,80264,543.0814,0
long-T600,PMAODV,GAUSS,3,15,0,15,25,0.25,600,2,54.3154,241.4565,0.1293,71279,543.9660,0
long-T600,PMAODV,GAUSS,3,15,0,15,25,0.25,600,3,43.4741,209.9557,0.1035,71855,541.6759,0
long-T600,PMAODV,GAUSS,3,15,0,15,25,0.25,600,4,62.3805,382.5427,0.1485,89045,543.5103,0
long-T600,PMAODV,GAUSS,3,15,0,15,25,0.25,600,5,53.9525,170.6633,0.1285,61905,541.7613,0
long-T900,PMAODV,GAUSS,3,15,0,15,25,0.25,900,1,58.0332,231.8837,0.1389,127461,543.0814,0
long-T900,PMAODV,GAUSS,3,15,0,15,25,0.25,900,2,57.2491,261.8372,0.1370,117908,543.9660,0
long-T900,PMAODV,GAUSS,3,15,0,15,25,0.25,900,3,49.5729,181.9963,0.1187,123445,541.6759,0
long-T900,PMAODV,GAUSS,3,15,0,15,25,0.25,900,4,61.9135,357.3647,0.1482,137334,543.5103,0
long-T900,PMAODV,GAUSS,3,15,0,15,25,0.25,900,5,61.4984,201.5756,0.1472,108137,541.7613,0
long-T1200,QMAODV,GAUSS,3,15,0,15,25,0.25,1200,1,64.3247,320.7414,0.1544,171163,544.0278,0
long-T1200,QMAODV,GAUSS,3,15,0,15,25,0.25,1200,2,56.4349,301.3802,0.1354,160528,544.7608,0
long-T1200,QMAODV,GAUSS,3,15,0,15,25,0.25,1200,3,63.1487,277.1755,0.1516,182884,541.8310,0
long-T1200,QMAODV,GAUSS,3,15,0,15,25,0.25,1200,4,45.1311,214.1932,0.1083,155581,543.4415,0
long-T1200,QMAODV,GAUSS,3,15,0,15,25,0.25,1200,5,62.6612,255.0512,0.1504,158234,541.3532,0
long-T200,QMAODV,GAUSS,3,15,0,15,25,0.25,200,1,45.8099,515.0549,0.1056,27999,544.0278,0
long-T200,QMAODV,GAUSS,3,15,0,15,25,0.25,200,2,48.5096,211.8993,0.1118,29230,544.7608,0
long-T200,QMAODV,GAUSS,3,15,0,15,25,0.25,200,3,54.4807,212.9146,0.1255,26989,541.8310,0
long-T200,QMAODV,GAUSS,3,15,0,15,25,0.25,200,4,38.5639,105.7369,0.0889,20905,543.4415,0
long-T200,QMAODV,GAUSS,3,15,0,15,25,0.25,200,5,47.0472,258.3753,0.1084,16853,541.3532,0
long-T600,QMAODV,GAUSS,3,15,0,15,25,0.25,600,1,59.4442,359.4024,0.1415,88505,544.0278,0
long-T600,QMAODV,GAUSS,3,15,0,15,25,0.25,600,2,57.2457,243.6294,0.1363,80522,544.7608,0
long-T600,QMAODV,GAUSS,3,15,0,15,25,0.25,600,3,59.2688,254.4598,0.1411,81719,541.8310,0
long-T600,QMAODV,GAUSS,3,15,0,15,25,0.25,600,4,40.2292,222.2024,0.0958,73697,543.4415,0
long-T600,QMAODV,GAUSS,3,15,0,15,25,0.25,600,5,61.3040,240.9728,0.1460,68339,541.3532,0
long-T900,QMAODV,GAUSS,3,15,0,15,25,0.25,900,1,63.1587,339.8046,0.1512,131441,544.0278,0
long-T900,QMAODV,GAUSS,3,15,0,15,25,0.25,900,2,57.4416,253.1729,0.1375,122469,544.7608,0
long-T900,QMAODV,GAUSS,3,15,0,15,25,0.25,900,3,61.8994,268.9369,0.1482,131396,541.8310,0
long-T900,QMAODV,GAUSS,3,15,0,15,25,0.25,900,4,39.4281,195.3243,0.0944,110094,543.4415,0
long-T900,QMAODV,GAUSS,3,15,0,15,25,0.25,900,5,63.6982,237.0015,0.1525,113552,541.3532,0
long-T1200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,1200,1,53.8354,297.6673,0.1292,155367,543.0900,0
long-T1200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,1200,2,58.0218,353.4756,0.1393,168861,544.0283,0
long-T1200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,1200,3,60.3513,245.6433,0.1448,181516,541.4773,0
long-T1200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,1200,4,58.8843,301.4637,0.1413,203754,543.6198,0
long-T1200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,1200,5,60.5583,269.5349,0.1453,157959,542.4202,0
long-T200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,200,1,23.6314,294.3742,0.0545,21157,543.0900,0
long-T200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,200,2,55.9149,368.2356,0.1288,32093,544.0283,0
long-T200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,200,3,56.9085,219.6237,0.1311,29166,541.4773,0
long-T200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,200,4,49.3251,193.3742,0.1137,35772,543.6198,0
long-T200,SAQMAODV,GAUSS,3,15,0,15,25,0.25,200,5,50.2437,159.3139,0.1158,18432,542.4202,0
long-T600,SAQMAODV,GAUSS,3,15,0,15,25,0.25,600,1,40.3260,258.3803,0.0960,73329,543.0900,0
long-T600,SAQMAODV,GAUSS,3,15,0,15,25,0.25,600,2,62.3957,341.0304,0.1486,86673,544.0283,0
long-T600,SAQMAODV,GAUSS,3,15,0,15,25,0.25,600,3,55.9816,237.7857,0.1333,85278,541.4773,0
long-T600,SAQMAODV,GAUSS,3,15,0,15,25,0.25,600,4,56.7346,340.6171,0.1351,96443,543.6198,0
long-T600,SAQMAODV,GAUSS,3,15,0,15,25,0.25,600,5,58.6670,229.8659,0.1397,70802,542.4202,0
long-T900,SAQMAODV,GAUSS,3,15,0,15,25,0.25,900,1,49.7834,287.8421,0.1192,115449,543.0900,0
long-T900,SAQMAODV,GAUSS,3,15,0,15,25,0.25,900,2,60.1909,332.9695,0.1441,131366,544.0283,0
long-T900,SAQMAODV,GAUSS,3,15,0,15,25,0.25,900,3,59.3928,258.6487,0.1422,134981,541.4773,0
long-T900,SAQMAODV,GAUSS,3,15,0,15,25,0.25,900,4,55.7392,332.9344,0.1334,149903,543.6198,0
long-T900,SAQMAODV,GAUSS,3,15,0,15,25,0.25,900,5,61.5084,246.8641,0.1472,114699,542.4202,0
